Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.33uF","CP_Elec_4x5.4",134.940000,-87.390000,180.000000,top
"C2","0.33uF","CP_Elec_4x5.4",126.940000,-87.390000,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.440000,-84.690000,-90.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.440000,-86.190000,-90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.440000,-114.690000,0.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.440000,-66.690000,-90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.835736,-130.690000,0.000000,top
"D1","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",179.733925,-63.633588,55.000000,top
"D2","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",174.176408,-73.918989,65.000000,top
"D3","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",170.212736,-85.206245,75.000000,top
"D4","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",168.341806,-96.729029,85.000000,top
"D5","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",168.190000,-108.230001,90.000000,top
"D6","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",169.449978,-119.951567,100.000000,top
"D7","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",172.787894,-131.370824,110.000000,top
"D8","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",178.043479,-141.975033,120.000000,top
"D9","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",176.693478,-68.650034,60.000000,top
"D10","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",171.932843,-79.438410,70.000000,top
"D11","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",169.015858,-90.970455,80.000000,top
"D12","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",168.190000,-102.730001,90.000000,top
"D13","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",168.559695,-114.221460,95.000000,top
"D14","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",170.859784,-125.668572,105.000000,top
"D15","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",175.232953,-136.806782,115.000000,top
"D16","IR LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",181.167866,-146.874295,125.000000,top
"D17","SS34","D_SMA_Handsoldering",126.940000,-94.690000,180.000000,top
"D18","LED","LED_D5.0mm",161.690000,-129.20,90.000000,top
"J1","SGI stereo","minidin3",101.052500,-66.690000,-90.000000,top
"J2","SGI Impact stereo","DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",110.2,-94.2500,-90.700000,top
"J3","12v DC","BarrelJack_Horizontal",133.0000,-62.200,180.000000,top
"J4","AVR-ISP-6","IDC-Header_2x03_P2.54mm_Vertical",126.5,-106.8000,-90.000000,top
"J6","VESA","minidin3",101.052500,-122.190000,-90.000000,top
"J7","VSYNC","BNC_TEConnectivity_1478035_Horizontal",110.875000,-142.190000,180.000000,top
"J8","ASUS VR-100","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal",143.18726,149.672873,0,top
"Q1","2N7002","SOT-23",154.690000,-69.690000,180.000000,top
"Q2","2N7002","SOT-23",154.690000,-63.690000,180.000000,top
"R1","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.690000,-63.690000,180.000000,top
"R2","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.690000,-68.690000,180.000000,top
